PROCODE5,NAME,POSTCODE,Latitude,Longitude
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,52.19506,-2.213008
R1C,SOLENT NHS TRUST,SO16 4XE,50.92515,-1.446226
R1E,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,53.010128,-2.227616
R1F,ISLE OF WIGHT NHS TRUST,PO30 5TG,50.710843,-1.30133
R1G,TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST,TQ2 7TD,50.48778,-3.552785
R1H,BARTS HEALTH NHS TRUST,E1 1BB,51.519018,-0.058133
R1J,THE GLOUCESTERSHIRE CARE SERVICES NATIONAL HEALTH SERVICE TRUST,GL3 4AW,51.847073,-2.176389
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,GU2 7XX,51.241016,-0.607463
RA3,WESTON AREA HEALTH NHS TRUST,BS23 4TQ,51.322335,-2.971399
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA21 4AT,50.944843,-2.634712
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,BS1 3NU,51.459478,-2.593019
RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,TQ2 7AA,50.482316,-3.553804
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD9 6RJ,53.80598,-1.794697
RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,SS0 0RY,51.553838,0.688617
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NW3 2QG,51.553224,-0.165324
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA7 4LP,51.632566,-0.310435
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N18 1QX,51.613094,-0.07375
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB8 3NN,51.526077,-0.461175
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,IG3 8XJ,51.577993,0.110488
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,KT2 7QB,51.414285,-0.28309
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,TA1 5DA,51.011962,-3.11965
RBB,ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,BA1 1RL,51.382257,-2.361436
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT1 2JY,50.71294,-2.446936
RBK,WALSALL HEALTHCARE NHS TRUST,WS2 9PS,52.58233,-1.998924
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE,53.36964,-3.096815
RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,L35 5DR,53.420469,-2.784954
